Institution,Latitude,Longitude
Ouachita Baptist,34.13081155,-93.05234393
UALR,34.72532461,-92.33825674
Hendrix,35.09933919,-92.44050564
Cal State Fullerton,33.88147472,-117.8848458
UCSB,34.4139452,-119.8491187
Santa Clara,37.3497612,-121.9384296
SDSU,32.77586311,-117.0713391
LA City College,34.08838876,-118.2926451
San Jose State,37.33517034,-121.8813719
Cal State Sacramento,38.55817208,-121.4210009
Cal State Chico,39.73037718,-121.8458555
Cal Poly San Luis Obispo,35.3048477,-120.6631808
CUA,38.93683103,-76.99955031
FL International,25.75595357,-80.37670694
Mercer,32.82894482,-83.65007731
GA State,33.75376379,-84.38515315
UH-Manoa,21.29651916,-157.8169831
Drake,41.60263419,-93.65473393
Roosevelt,41.87680603,-87.62507398
Wheaton,41.8699973,-88.09674017
NIU,41.93402549,-88.77436941
Judson,42.06095968,-88.29026215
Loyola (IL),41.9994303,-87.65830142
IL State,40.5118032,-88.99389786
Augustana (IL),41.50266673,-90.55152085
Indiana Wesleyan,40.51688041,-85.66273203
Evansville,37.9741122,-87.53195023
Eastern Kentucky,37.73510079,-84.29845742
NSULA,31.7501194,-93.09813175
UMASS Amherst,42.38674395,-72.53039482
Boston Conservatory,42.34672545,-71.08983904
Washington Adventist,38.98660122,-77.000621
Howard CC,39.21286544,-76.87818961
Concordia,46.86261347,-96.7695
North Central Univ,44.97005884,-93.26142873
MO Western,39.75951481,-94.78448528
SW Baptist,37.59942469,-93.40979001
Central Missouri,38.75819813,-93.73922881
Millsaps,32.32331431,-90.17861472
Montana,46.86008919,-113.985251
Wake Forest,36.13534923,-80.27893831
Appalachian State,36.21347356,-81.68407773
East Carolina,35.61112304,-77.40930513
UNC,35.90507731,-79.04710652
UNK,40.70126924,-99.10151503
UNLV,36.10857171,-115.1432996
SUNY New Paltz,41.73902141,-74.08499384
Queensborough CC,40.7561631,-73.7574096
Youngstown State,41.10681915,-80.64796645
UCO,35.65769778,-97.47219364
Tulsa,36.15224319,-95.94650445
West Chester,39.95269552,-75.59761092
Bob Jones,34.87512727,-82.36482484
Furman,34.92596292,-82.43964325
ETSU,36.30227435,-82.36993883
MTSU,35.84831482,-86.36483838
Carson Newman,36.12345395,-83.49061549
Lee,35.16579873,-84.87004273
Austin Peay,36.53472138,-87.35475675
Belmont,36.13406922,-86.79421312
SMU,32.84083921,-96.78438875
South Plains,33.57828086,-102.3667678
UTEP,31.77099153,-106.505885
Sam Houston,30.71288671,-95.54737633
Del Mar,27.76312544,-97.41073542
Liberty,37.35302754,-79.17708165
Shenandoah,39.16606581,-78.15803839
PLU,47.14526607,-122.443624
Western Washington,48.73433016,-122.4862241
Carthage,42.6239554,-87.82071972
Marshall,38.42327304,-82.42680074
